nameFirst,nameLast,weight,debut,height,finalGame,baseball_ref_url,birthCity,birthState,birthYear,lat,long
Wes,Schulmerich,210,1931-05-01,71,1934-09-30,http://www.baseball-reference.com/players/s/schulwe02.shtml,Hillsboro,OR,1901,45.530767,-122.937143
Chief,Youngblood,202,1922-06-16,75,1922-07-31,http://www.baseball-reference.com/players/y/youngch02.shtml,Hillsboro,TX,1900,32.007831,-97.115652
Denny,Sullivan,,1905-04-22,70,1909-09-02,http://www.baseball-reference.com/players/s/sullide02.shtml,Hillsboro,WI,1882,43.656518,-90.334356
Skip,Pitlock,180,1970-06-12,74,1975-04-10,http://www.baseball-reference.com/players/p/pitlosk01.shtml,Hillside,IL,1947,41.867484,-87.901902
Bobby,Korecky,185,2008-04-26,71,2014-06-11,http://www.baseball-reference.com/players/k/korecbo01.shtml,Hillside,NJ,1979,40.701213,-74.2301458
Irv,Waldron,155,1901-04-25,65,1901-09-27,http://www.baseball-reference.com/players/w/waldrir01.shtml,Hillside,NY,1872,41.919050,-74.033686
Onan,Masaoka,188,1999-04-05,72,2000-09-30,http://www.baseball-reference.com/players/m/masaoon01.shtml,Hilo,HI,1977,19.692437,-155.084503
Brandon,Villafuerte,195,2000-05-23,71,2004-07-21,http://www.baseball-reference.com/players/v/villabr01.shtml,Hilo,HI,1975,19.692437,-155.084503
Kolten,Wong,185,2013-08-16,69,2015-10-04,http://www.baseball-reference.com/players/w/wongko01.shtml,Hilo,HI,1990,19.692437,-155.084503
Ryan,Kelly,180,2015-06-30,74,2015-09-25,http://www.baseball-reference.com/players/k/kellyry01.shtml,Hilton Head,SC,1987,32.216316,-80.7526079
Dan,Driessen,187,1973-06-09,71,1987-10-03,http://www.baseball-reference.com/players/d/driesda01.shtml,Hilton Head Island,SC,1951,32.191237,-80.739175
Hal,Schumacher,190,1931-04-15,72,1946-09-25,http://www.baseball-reference.com/players/s/schumha02.shtml,Hinckley,NY,1910,43.3122913,-75.1218293
Dick,Hyde,170,1955-04-23,71,1961-08-04,http://www.baseball-reference.com/players/h/hydedi01.shtml,Hindsboro,IL,1928,39.684987,-88.134857
Joe,Benson,215,2011-09-06,73,2011-09-28,http://www.baseball-reference.com/players/b/bensojo01.shtml,Hinsdale,IL,1988,41.800683,-87.928172
Ian,Krol,210,2013-06-05,73,2015-10-04,http://www.baseball-reference.com/players/k/krolia01.shtml,Hinsdale,IL,1991,41.800683,-87.928172
Kevin,Plawecki,225,2015-04-21,74,2015-10-03,http://www.baseball-reference.com/players/p/plaweke01.shtml,Hinsdale,IL,1991,41.800683,-87.928172
Todd,Van Poppel,210,1991-09-11,77,2004-10-02,http://www.baseball-reference.com/players/v/vanpoto01.shtml,Hinsdale,IL,1971,41.800683,-87.928172
Guy,Morrison,185,1927-08-31,71,1928-04-27,http://www.baseball-reference.com/players/m/morrigu01.shtml,Hinton,WV,1895,37.674545,-80.881096
Jack,Warhop,168,1908-09-19,69,1915-08-12,http://www.baseball-reference.com/players/w/warhoja01.shtml,Hinton,WV,1884,37.674545,-80.881096
Buck,Varner,170,1952-09-19,70,1952-09-23,http://www.baseball-reference.com/players/v/varnebu01.shtml,Hixson,TN,1930,35.229513,-85.2928969
Buck,Ewing,188,1880-09-09,70,1897-05-27,http://www.baseball-reference.com/players/e/ewingbu01.shtml,Hoagland,OH,1859,39.2042305,-83.6813111
Larry,Bigbie,190,2001-06-23,76,2006-06-04,http://www.baseball-reference.com/players/b/bigbila01.shtml,Hobart,IN,1977,41.513530,-87.276399
Scott,Terry,195,1986-04-09,71,1991-09-13,http://www.baseball-reference.com/players/t/terrysc01.shtml,Hobbs,NM,1959,32.729088,-103.160828
Charles,Bierman,180,1871-06-21,72,1871-06-21,http://www.baseball-reference.com/players/b/biermch01.shtml,Hoboken,NJ,1845,40.745251,-74.027926
Tom,Carey,170,1935-07-19,68,1946-07-07,http://www.baseball-reference.com/players/c/careyto02.shtml,Hoboken,NJ,1906,40.745251,-74.027926
Gil,Hatfield,168,1885-09-24,69,1895-05-08,http://www.baseball-reference.com/players/h/hatfigi01.shtml,Hoboken,NJ,1855,40.745251,-74.027926
John,Hatfield,165,1871-05-18,70,1876-05-05,http://www.baseball-reference.com/players/h/hatfijo01.shtml,Hoboken,NJ,1847,40.745251,-74.027926
Leo,Kiely,180,1951-06-27,74,1960-06-20,http://www.baseball-reference.com/players/k/kielyle01.shtml,Hoboken,NJ,1929,40.745251,-74.027926
Johnny,Kucks,170,1955-04-17,75,1960-09-25,http://www.baseball-reference.com/players/k/kucksjo01.shtml,Hoboken,NJ,1932,40.745251,-74.027926
Bill,Kunkel,187,1961-04-15,73,1963-09-21,http://www.baseball-reference.com/players/k/kunkebi01.shtml,Hoboken,NJ,1936,40.745251,-74.027926
Jack,Lazorko,200,1984-06-04,71,1988-09-27,http://www.baseball-reference.com/players/l/lazorja01.shtml,Hoboken,NJ,1956,40.745251,-74.027926
Hal,Neubauer,185,1925-07-12,72,1925-09-08,http://www.baseball-reference.com/players/n/neubaha01.shtml,Hoboken,NJ,1902,40.745251,-74.027926
Orlando,Palmeiro,155,1995-07-01,71,2007-09-30,http://www.baseball-reference.com/players/p/palmeor01.shtml,Hoboken,NJ,1969,40.745251,-74.027926
John,Romano,205,1958-09-12,71,1967-09-04,http://www.baseball-reference.com/players/r/romanjo01.shtml,Hoboken,NJ,1934,40.745251,-74.027926
Harley,Boss,185,1928-07-19,71,1933-09-24,http://www.baseball-reference.com/players/b/bossha01.shtml,Hodge,LA,1908,32.270019,-92.729680
Billy,Smith,185,1975-04-13,74,1981-09-24,http://www.baseball-reference.com/players/s/smithbi05.shtml,Hodge,LA,1953,32.270019,-92.729680
Jake,Goebbert,210,2014-06-20,72,2014-09-27,http://www.baseball-reference.com/players/g/goebbja01.shtml,Hoffman Estates,IL,1987,42.065214,-88.152991
Joe,Antolick,185,1944-09-20,72,1944-09-26,http://www.baseball-reference.com/players/a/antoljo01.shtml,Hokendauqua,PA,1916,40.658455,-75.495211
Andy,Tomasic,175,1949-04-28,72,1949-09-22,http://www.baseball-reference.com/players/t/tomasan01.shtml,Hokendauqua,PA,1917,40.658455,-75.495211
Ollie,Hanson,178,1921-04-27,71,1921-05-05,http://www.baseball-reference.com/players/h/hansool01.shtml,Holbrook,MA,1896,42.140244,-70.997347
Guy,Zinn,170,1911-09-11,70,1915-09-16,http://www.baseball-reference.com/players/z/zinngu01.shtml,Holbrook,WV,1887,39.1523071,-80.8559388
Jack,Powell,,1913-06-14,74,1913-07-09,http://www.baseball-reference.com/players/p/powelja02.shtml,Holcomb,MO,1891,36.401341,-90.024838
Bruce,Taylor,178,1977-08-05,72,1979-05-22,http://www.baseball-reference.com/players/t/taylobr01.shtml,Holden,MA,1953,42.3517586,-71.8634061
Hooks,Cotter,160,1922-04-15,70,1924-09-28,http://www.baseball-reference.com/players/c/cotteho01.shtml,Holden,MO,1900,38.713456,-93.989412
George,Gillpatrick,210,1898-05-22,72,1898-08-07,http://www.baseball-reference.com/players/g/gillpge01.shtml,Holden,MO,1875,38.713456,-93.989412
Max,Butcher,220,1936-04-20,74,1945-09-11,http://www.baseball-reference.com/players/b/butchma01.shtml,Holden,WV,1910,37.819360,-82.081236
Daren,Brown,185,,76,,http://www.baseball-reference.com/players/b/brownda99.shtml,Holdenville,OK,1967,35.083949,-96.400156
Jackie,Brown,195,1970-07-02,73,1977-09-27,http://www.baseball-reference.com/players/b/brownja01.shtml,Holdenville,OK,1943,35.083949,-96.400156
George,Kernek,170,1965-09-05,75,1966-05-08,http://www.baseball-reference.com/players/k/kernege01.shtml,Holdenville,OK,1940,35.083949,-96.400156
Pete,Fahrer,190,1914-08-17,72,1914-09-06,http://www.baseball-reference.com/players/f/fahrepe01.shtml,Holgate,OH,1890,41.249289,-84.129246
Bill,Morley,170,1913-09-08,71,1913-09-09,http://www.baseball-reference.com/players/m/morlebi01.shtml,Holland,MI,1890,42.767049,-86.098572
Andy,Van Hekken,185,2002-09-03,75,2002-09-27,http://www.baseball-reference.com/players/v/vanhean01.shtml,Holland,MI,1979,42.767049,-86.098572
George,Zuverink,195,1951-04-21,76,1959-06-15,http://www.baseball-reference.com/players/z/zuverge01.shtml,Holland,MI,1924,42.767049,-86.098572
Guy,Curtright,200,1943-04-21,71,1946-07-18,http://www.baseball-reference.com/players/c/curtrgu01.shtml,Holliday,MO,1912,39.492134,-92.134175
Joe,Martin,155,1903-04-28,69,1903-08-31,http://www.baseball-reference.com/players/m/martijo01.shtml,Hollidaysburg,PA,1876,40.431139,-78.393005
Lindy,McDaniel,195,1955-09-02,75,1975-09-27,http://www.baseball-reference.com/players/m/mcdanli01.shtml,Hollis,OK,1935,34.689431,-99.915443
Von,McDaniel,180,1957-06-13,74,1958-05-11,http://www.baseball-reference.com/players/m/mcdanvo01.shtml,Hollis,OK,1939,34.689431,-99.915443
Gale,Wade,185,1955-04-11,73,1956-05-08,http://www.baseball-reference.com/players/w/wadega01.shtml,Hollister,MO,1929,36.606082,-93.232575
Jimmie,Coker,195,1958-09-11,71,1967-09-12,http://www.baseball-reference.com/players/c/cokerji01.shtml,Holly Hill,SC,1936,33.325285,-80.413433
Brett,Gardner,185,2008-06-30,70,2015-10-04,http://www.baseball-reference.com/players/g/gardnbr01.shtml,Holly Hill,SC,1983,33.325285,-80.413433
Willie,Randolph,165,1975-07-29,71,1992-10-04,http://www.baseball-reference.com/players/r/randowi01.shtml,Holly Hill,SC,1954,33.325285,-80.413433
Red,Smyth,152,1915-08-11,69,1918-06-18,http://www.baseball-reference.com/players/s/smythre01.shtml,Holly Springs,MS,1891,34.778017,-89.445819
Herb,Adams,160,1948-09-17,69,1950-08-30,http://www.baseball-reference.com/players/a/adamshe01.shtml,Hollywood,CA,1928,34.1028268,-118.3299898
Craig,Chamberlain,190,1979-08-12,73,1980-09-28,http://www.baseball-reference.com/players/c/chambcr01.shtml,Hollywood,CA,1957,34.1028268,-118.3299898
Brian,Cooper,175,1999-09-07,73,2005-09-28,http://www.baseball-reference.com/players/c/coopebr01.shtml,Hollywood,CA,1974,34.1028268,-118.3299898
Marlan,Coughtry,170,1960-09-02,73,1962-07-15,http://www.baseball-reference.com/players/c/coughma01.shtml,Hollywood,CA,1934,34.1028268,-118.3299898
Andre,David,170,1984-06-29,72,1986-06-10,http://www.baseball-reference.com/players/d/davidan01.shtml,Hollywood,CA,1958,34.1028268,-118.3299898
Chris,Dickerson,230,2008-08-12,76,2014-09-05,http://www.baseball-reference.com/players/d/dickech01.shtml,Hollywood,CA,1982,34.1028268,-118.3299898
Larry,Dierker,215,1964-09-22,76,1977-10-01,http://www.baseball-reference.com/players/d/dierkla01.shtml,Hollywood,CA,1946,34.1028268,-118.3299898
Jim,Gott,215,1982-04-09,76,1995-08-03,http://www.baseball-reference.com/players/g/gottji01.shtml,Hollywood,CA,1959,34.1028268,-118.3299898
Ed,Jurak,185,1982-06-30,74,1989-06-26,http://www.baseball-reference.com/players/j/juraked01.shtml,Hollywood,CA,1957,34.1028268,-118.3299898
Gabe,Kapler,190,1998-09-20,74,2010-08-14,http://www.baseball-reference.com/players/k/kaplega01.shtml,Hollywood,CA,1975,34.1028268,-118.3299898
Cory,Lidle,175,1997-05-08,71,2006-10-01,http://www.baseball-reference.com/players/l/lidleco01.shtml,Hollywood,CA,1972,34.1028268,-118.3299898
Jerry,Owens,195,2006-09-11,75,2009-04-29,http://www.baseball-reference.com/players/o/owensje01.shtml,Hollywood,CA,1981,34.1028268,-118.3299898
Freddy,Sanchez,200,2002-09-10,72,2011-06-10,http://www.baseball-reference.com/players/s/sanchfr01.shtml,Hollywood,CA,1977,34.1028268,-118.3299898
Bill,Slayback,200,1972-06-26,76,1974-10-02,http://www.baseball-reference.com/players/s/slaybbi01.shtml,Hollywood,CA,1948,34.1028268,-118.3299898
Frank,Sullivan,215,1953-07-31,78,1963-06-12,http://www.baseball-reference.com/players/s/sullifr01.shtml,Hollywood,CA,1930,34.1028268,-118.3299898
Jason,Thompson,200,1976-04-23,76,1986-06-23,http://www.baseball-reference.com/players/t/thompja01.shtml,Hollywood,CA,1954,34.1028268,-118.3299898
Chris,Britton,275,2006-04-12,75,2008-09-26,http://www.baseball-reference.com/players/b/brittch01.shtml,Hollywood,FL,1982,26.030967,-80.164609
Mike,Fiers,200,2011-09-14,74,2015-09-29,http://www.baseball-reference.com/players/f/fiersmi01.shtml,Hollywood,FL,1985,26.030967,-80.164609
Tom,Magrann,177,1989-09-07,75,1989-10-01,http://www.baseball-reference.com/players/m/magrato01.shtml,Hollywood,FL,1963,26.030967,-80.164609
Oddibe,McDowell,165,1985-05-19,69,1994-08-10,http://www.baseball-reference.com/players/m/mcdowod01.shtml,Hollywood,FL,1962,26.030967,-80.164609
Mike,Napoli,225,2006-05-04,73,2015-10-03,http://www.baseball-reference.com/players/n/napolmi01.shtml,Hollywood,FL,1981,26.030967,-80.164609
Darnell,Sweeney,195,2015-08-20,73,2015-10-04,http://www.baseball-reference.com/players/s/sweenda02.shtml,Hollywood,FL,1991,26.030967,-80.164609
Pony,Sager,140,1871-05-06,,1871-05-30,http://www.baseball-reference.com/players/s/sagerpo01.shtml,Holmesburg,PA,1848,40.0412947,-75.0261552
Foster,Edwards,175,1925-07-02,75,1930-05-21,http://www.baseball-reference.com/players/e/edwarfo01.shtml,Holstein,IA,1903,42.488336,-95.542882
Biggs,Wehde,180,1930-09-15,70,1931-08-03,http://www.baseball-reference.com/players/w/wehdebi01.shtml,Holstein,IA,1906,42.488336,-95.542882
Dwight,Stone,170,1913-04-13,73,1914-09-29,http://www.baseball-reference.com/players/s/stonedw01.shtml,Holt County,NE,1886,42.4304452,-98.7540782
Bob,Adams,168,1925-09-22,71,1925-09-23,http://www.baseball-reference.com/players/a/adamsbo01.shtml,Holyoke,MA,1901,42.211656,-72.642448
Dick,Burns,140,1883-05-03,67,1885-07-23,http://www.baseball-reference.com/players/b/burnsdi01.shtml,Holyoke,MA,1863,42.211656,-72.642448
Pat,Carney,200,1901-09-20,72,1904-08-31,http://www.baseball-reference.com/players/c/carnepa01.shtml,Holyoke,MA,1876,42.211656,-72.642448
