nameFirst,nameLast,weight,debut,height,finalGame,baseball_ref_url,birthCity,birthState,birthYear,lat,long
Cal,Ripken,175,,71,,http://www.baseball-reference.com/players/r/ripkeca99.shtml,Aberdeen,MD,1935,39.515856,-76.170180
Frank,Todd,,1898-07-14,,1898-08-04,http://www.baseball-reference.com/players/t/toddfr01.shtml,Aberdeen,MD,1869,39.515856,-76.170180
Guy,Bush,175,1923-09-17,72,1945-05-26,http://www.baseball-reference.com/players/b/bushgu01.shtml,Aberdeen,MS,1901,33.828299,-88.554741
Justin,Duchscherer,165,2001-07-25,75,2010-04-29,http://www.baseball-reference.com/players/d/duchsju01.shtml,Aberdeen,SD,1977,45.464678,-98.468104
Tony,Faeth,180,1919-08-10,72,1920-07-27,http://www.baseball-reference.com/players/f/faethto01.shtml,Aberdeen,SD,1893,45.464678,-98.468104
Terry,Francona,190,1981-08-19,73,1990-04-19,http://www.baseball-reference.com/players/f/francte01.shtml,Aberdeen,SD,1959,45.464678,-98.468104
John,Hoffman,190,1964-07-30,72,1965-10-03,http://www.baseball-reference.com/players/h/hoffmjo01.shtml,Aberdeen,SD,1943,45.464678,-98.468104
Karl,Best,190,1983-08-19,76,1988-06-20,http://www.baseball-reference.com/players/b/bestka01.shtml,Aberdeen,WA,1959,46.976677,-123.809718
Pete,Naktenis,185,1936-06-13,73,1939-05-14,http://www.baseball-reference.com/players/n/naktepe01.shtml,Aberdeen,WA,1914,46.976677,-123.809718
Hy,Vandenberg,220,1935-06-08,76,1945-09-29,http://www.baseball-reference.com/players/v/vandehy01.shtml,Abilene,KS,1906,38.923898,-97.224138
Bill,Gilbreth,180,1971-06-25,72,1974-05-12,http://www.baseball-reference.com/players/g/gilbrbi01.shtml,Abilene,TX,1947,32.454514,-99.738147
Chuck,Harrison,185,1965-09-15,70,1971-09-25,http://www.baseball-reference.com/players/h/harrich02.shtml,Abilene,TX,1941,32.454514,-99.738147
Dave,Johnson,183,1974-07-02,73,1978-05-10,http://www.baseball-reference.com/players/j/johnsda03.shtml,Abilene,TX,1948,32.454514,-99.738147
John,Lackey,235,2002-06-24,78,2015-10-04,http://www.baseball-reference.com/players/l/lackejo01.shtml,Abilene,TX,1978,32.454514,-99.738147
Grady,Little,175,,71,,http://www.baseball-reference.com/players/l/littlgr99.shtml,Abilene,TX,1950,32.454514,-99.738147
Phil,Lombardi,200,1986-04-26,74,1989-10-01,http://www.baseball-reference.com/players/l/lombaph01.shtml,Abilene,TX,1963,32.454514,-99.738147
Bill,Shores,185,1928-04-11,72,1936-09-20,http://www.baseball-reference.com/players/s/shorebi01.shtml,Abilene,TX,1904,32.454514,-99.738147
Gail,Harris,195,1955-06-03,72,1960-05-03,http://www.baseball-reference.com/players/h/harriga01.shtml,Abingdon,VA,1931,36.709224,-81.970927
Dan,Burke,190,1890-04-18,70,1892-10-01,http://www.baseball-reference.com/players/b/burkeda01.shtml,Abington,MA,1868,42.119964,-70.957216
Pete,Smith,185,1987-09-08,74,1998-09-24,http://www.baseball-reference.com/players/s/smithpe02.shtml,Abington,MA,1966,42.119964,-70.957216
Wayne,Ambler,165,1937-06-04,68,1939-09-04,http://www.baseball-reference.com/players/a/amblewa01.shtml,Abington,PA,1915,40.1206656,-75.1179511
Reggie,Jackson,195,1967-06-09,72,1987-10-04,http://www.baseball-reference.com/players/j/jacksre01.shtml,Abington,PA,1946,40.1206656,-75.1179511
Chuck,Ricci,180,1995-09-08,74,1995-10-01,http://www.baseball-reference.com/players/r/riccich01.shtml,Abington,PA,1968,40.1206656,-75.1179511
Craig,Robinson,165,1972-09-09,70,1977-10-01,http://www.baseball-reference.com/players/r/robincr01.shtml,Abington,PA,1948,40.1206656,-75.1179511
Gene,Schall,190,1995-06-16,75,1996-09-29,http://www.baseball-reference.com/players/s/schalge01.shtml,Abington,PA,1970,40.1206656,-75.1179511
Dorn,Taylor,180,1987-04-30,74,1990-09-30,http://www.baseball-reference.com/players/t/taylodo01.shtml,Abington,PA,1958,40.1206656,-75.1179511
Ray,Morehart,157,1924-08-09,69,1927-09-29,http://www.baseball-reference.com/players/m/morehra01.shtml,Abner,TX,1899,32.6279109,-96.1916424
Lloyd,Hittle,164,1949-06-12,70,1950-06-11,http://www.baseball-reference.com/players/h/hittlll01.shtml,Acampo,CA,1924,38.173529,-121.279892
Art,Reinhart,170,1919-04-26,73,1928-09-15,http://www.baseball-reference.com/players/r/reinhar01.shtml,Ackley,IA,1899,42.551695,-93.052272
Bill,Endicott,175,1946-04-21,71,1946-09-18,http://www.baseball-reference.com/players/e/endicbi01.shtml,Acorn,MO,1918,38.9318002,-92.3893987
John,Taber,,1890-04-30,68,1890-07-08,http://www.baseball-reference.com/players/t/taberjo01.shtml,Acushnet,MA,1868,41.6806593,-70.9078159
Fern,Bell,180,1939-04-17,72,1940-05-06,http://www.baseball-reference.com/players/b/bellfe01.shtml,Ada,OK,1913,34.768432,-96.669108
Nick,Blackburn,240,2007-09-03,76,2012-08-17,http://www.baseball-reference.com/players/b/blackni01.shtml,Ada,OK,1982,34.768432,-96.669108
Josh,Fields,225,2006-09-13,74,2010-10-02,http://www.baseball-reference.com/players/f/fieldjo02.shtml,Ada,OK,1982,34.768432,-96.669108
Charlie,Hudson,185,1972-05-21,75,1975-07-10,http://www.baseball-reference.com/players/h/hudsoch01.shtml,Ada,OK,1949,34.768432,-96.669108
Aaron,Looper,180,2003-08-02,74,2003-09-28,http://www.baseball-reference.com/players/l/loopeaa01.shtml,Ada,OK,1976,34.768432,-96.669108
Jerry,Walker,195,1957-07-06,73,1964-09-25,http://www.baseball-reference.com/players/w/walkeje01.shtml,Ada,OK,1939,34.768432,-96.669108
Jim,Bluejacket,200,1914-08-06,74,1916-07-16,http://www.baseball-reference.com/players/b/bluejji01.shtml,Adair,OK,1887,36.436500,-95.272621
Ben,Tincup,180,1914-05-22,73,1928-09-15,http://www.baseball-reference.com/players/t/tincube01.shtml,Adair,OK,1893,36.436500,-95.272621
Pete,McBride,170,1898-09-20,70,1899-09-14,http://www.baseball-reference.com/players/m/mcbripe01.shtml,Adams,MA,1875,42.629085,-73.118747
Dave,Murphy,,1905-08-28,,1905-08-30,http://www.baseball-reference.com/players/m/murphda03.shtml,Adams,MA,1876,42.629085,-73.118747
Bill,Bishop,187,1886-09-13,68,1889-09-19,http://www.baseball-reference.com/players/b/bishobi01.shtml,Adamsburg,PA,1864,40.312434,-79.654279
Jim,Greengrass,200,1952-09-09,73,1956-09-30,http://www.baseball-reference.com/players/g/greenji02.shtml,Addison,NY,1927,42.106321,-77.231990
Dave,Skeels,187,1910-09-14,73,1910-09-14,http://www.baseball-reference.com/players/s/skeelda01.shtml,Addy,WA,1891,48.358908,-117.837185
Kaleb,Cowart,225,2015-08-18,75,2015-10-03,http://www.baseball-reference.com/players/c/cowarka01.shtml,Adel,GA,1992,31.131571,-83.425405
Jack,Feller,185,1958-09-13,70,1958-09-13,http://www.baseball-reference.com/players/f/felleja01.shtml,Adrian,MI,1936,41.898780,-84.044829
Fritz,Fisher,180,1964-04-19,73,1964-04-19,http://www.baseball-reference.com/players/f/fishefr01.shtml,Adrian,MI,1941,41.898780,-84.044829
John,Fluhrer,165,1915-09-05,69,1915-09-24,http://www.baseball-reference.com/players/f/fluhrjo01.shtml,Adrian,MI,1894,41.898780,-84.044829
Rube,Kisinger,190,1902-09-10,72,1903-09-24,http://www.baseball-reference.com/players/k/kisinru01.shtml,Adrian,MI,1876,41.898780,-84.044829
Mike,Marshall,180,1967-05-31,70,1981-10-02,http://www.baseball-reference.com/players/m/marshmi01.shtml,Adrian,MI,1943,41.898780,-84.044829
Ray,Soff,185,1986-07-17,72,1987-05-28,http://www.baseball-reference.com/players/s/soffra01.shtml,Adrian,MI,1958,41.898780,-84.044829
Howard,Maple,175,1932-05-19,67,1932-09-18,http://www.baseball-reference.com/players/m/mapleho01.shtml,Adrian,MO,1903,38.395879,-94.349742
Frank,Rosso,180,1944-09-15,71,1944-10-01,http://www.baseball-reference.com/players/r/rossofr01.shtml,Agawam,MA,1921,42.064731,-72.653477
Herb,Bradley,170,1927-05-09,72,1929-07-15,http://www.baseball-reference.com/players/b/bradlhe01.shtml,Agenda,KS,1903,39.707239,-97.432220
Marv,Owen,175,1931-04-16,73,1940-08-02,http://www.baseball-reference.com/players/o/owenma01.shtml,Agnew,CA,1906,37.3946626,-121.9591251
Bryan,Petersen,200,2010-05-07,72,2012-10-03,http://www.baseball-reference.com/players/p/peterbr01.shtml,Agoura Hills,CA,1986,34.148942,-118.763930
Dick,Newsome,185,1941-04-25,72,1943-09-27,http://www.baseball-reference.com/players/n/newsodi01.shtml,Ahoskie,NC,1909,36.284134,-76.989916
Riggs,Stephenson,185,1921-04-13,70,1934-09-24,http://www.baseball-reference.com/players/s/stephri01.shtml,Akron,AL,1898,32.879495,-87.741679
Tommy,Heath,185,1935-04-23,70,1938-09-18,http://www.baseball-reference.com/players/h/heathto01.shtml,Akron,CO,1913,40.164382,-103.220685
Terry,Bevington,190,,74,,http://www.baseball-reference.com/players/b/bevinte99.shtml,Akron,OH,1956,41.080456,-81.521429
Jack,DiLauro,185,1969-05-15,74,1970-09-25,http://www.baseball-reference.com/players/d/dilauja01.shtml,Akron,OH,1943,41.080456,-81.521429
Bob,Knepper,195,1976-09-10,75,1990-06-24,http://www.baseball-reference.com/players/k/kneppbo01.shtml,Akron,OH,1954,41.080456,-81.521429
Art,Kusnyer,197,1970-09-21,74,1978-10-01,http://www.baseball-reference.com/players/k/kusnyar01.shtml,Akron,OH,1945,41.080456,-81.521429
David,Lough,175,2012-09-01,70,2015-10-04,http://www.baseball-reference.com/players/l/loughda01.shtml,Akron,OH,1986,41.080456,-81.521429
Thurman,Munson,190,1969-08-08,71,1979-08-01,http://www.baseball-reference.com/players/m/munsoth01.shtml,Akron,OH,1947,41.080456,-81.521429
Ron,Negray,185,1952-09-14,73,1958-05-09,http://www.baseball-reference.com/players/n/negraro01.shtml,Akron,OH,1930,41.080456,-81.521429
Bob,Spade,190,1907-09-22,70,1910-07-21,http://www.baseball-reference.com/players/s/spadebo01.shtml,Akron,OH,1877,41.080456,-81.521429
Bill,Upham,178,1915-04-10,72,1918-06-26,http://www.baseball-reference.com/players/u/uphambi01.shtml,Akron,OH,1888,41.080456,-81.521429
Buck,Washer,175,1905-04-25,70,1905-04-25,http://www.baseball-reference.com/players/w/washebu01.shtml,Akron,OH,1882,41.080456,-81.521429
Sam,Wise,170,1881-07-30,70,1893-09-29,http://www.baseball-reference.com/players/w/wisesa01.shtml,Akron,OH,1857,41.080456,-81.521429
Gene,Woodling,195,1943-09-23,69,1962-09-16,http://www.baseball-reference.com/players/w/woodlge01.shtml,Akron,OH,1922,41.080456,-81.521429
Charley,Jones,202,1875-05-04,71,1888-04-26,http://www.baseball-reference.com/players/j/jonesch01.shtml,Alamance County,NC,1852,36.0431402,-79.4075383
Luke,Stuart,165,1921-07-28,68,1921-08-09,http://www.baseball-reference.com/players/s/stuarlu01.shtml,Alamance County,NC,1892,36.0431402,-79.4075383
John,Baker,215,2008-07-09,73,2014-09-28,http://www.baseball-reference.com/players/b/bakerjo01.shtml,Alameda,CA,1981,37.741911,-122.259914
Steve,Brye,190,1970-09-03,72,1978-10-01,http://www.baseball-reference.com/players/b/bryest01.shtml,Alameda,CA,1949,37.741911,-122.259914
Ray,French,158,1920-09-17,69,1924-07-10,http://www.baseball-reference.com/players/f/frencra01.shtml,Alameda,CA,1895,37.741911,-122.259914
Jeff,Harris,190,2005-08-02,73,2006-04-11,http://www.baseball-reference.com/players/h/harrije02.shtml,Alameda,CA,1974,37.741911,-122.259914
Dutch,Lieber,180,1935-04-18,72,1936-04-26,http://www.baseball-reference.com/players/l/liebedu01.shtml,Alameda,CA,1910,37.741911,-122.259914
Bill,Macdonald,170,1950-05-06,70,1953-05-24,http://www.baseball-reference.com/players/m/macdobi01.shtml,Alameda,CA,1929,37.741911,-122.259914
Joe,Nelson,185,2001-06-13,74,2010-06-09,http://www.baseball-reference.com/players/n/nelsojo01.shtml,Alameda,CA,1974,37.741911,-122.259914
Bill,Rigney,178,1946-04-16,73,1953-09-12,http://www.baseball-reference.com/players/r/rignebi01.shtml,Alameda,CA,1918,37.741911,-122.259914
Dutch,Ruether,180,1917-04-13,73,1927-09-29,http://www.baseball-reference.com/players/r/ruethdu01.shtml,Alameda,CA,1893,37.741911,-122.259914
Bill,Serena,175,1949-09-16,69,1954-08-07,http://www.baseball-reference.com/players/s/serenbi01.shtml,Alameda,CA,1924,37.741911,-122.259914
Chris,Speier,175,1971-04-07,73,1989-10-01,http://www.baseball-reference.com/players/s/speiech01.shtml,Alameda,CA,1950,37.741911,-122.259914
Oscar,Westerberg,186,1907-09-05,72,1907-09-07,http://www.baseball-reference.com/players/w/westeos01.shtml,Alameda,CA,1882,37.741911,-122.259914
Bernie,Williams,175,1970-09-07,73,1974-05-12,http://www.baseball-reference.com/players/w/willibe01.shtml,Alameda,CA,1948,37.741911,-122.259914
Billy,McMillon,172,1996-07-26,71,2004-10-03,http://www.baseball-reference.com/players/m/mcmilbi01.shtml,Alamogordo,NM,1971,32.883616,-105.963610
Cloyd,Boyer,188,1949-04-23,73,1955-09-24,http://www.baseball-reference.com/players/b/boyercl01.shtml,Alba,MO,1927,37.237155,-94.417611
John,Flavin,208,1964-08-25,74,1964-09-13,http://www.baseball-reference.com/players/f/flavijo01.shtml,Albany,CA,1942,37.890650,-122.318116
Rich,Robertson,210,1966-09-10,74,1971-07-20,http://www.baseball-reference.com/players/r/roberri01.shtml,Albany,CA,1944,37.890650,-122.318116
Danny,Breeden,185,1969-07-24,71,1971-06-17,http://www.baseball-reference.com/players/b/breedda01.shtml,Albany,GA,1942,31.578037,-84.176225
Hal,Breeden,200,1971-04-07,74,1975-09-11,http://www.baseball-reference.com/players/b/breedha01.shtml,Albany,GA,1944,31.578037,-84.176225
Phil,Clark,210,1958-04-15,75,1959-04-29,http://www.baseball-reference.com/players/c/clarkph01.shtml,Albany,GA,1932,31.578037,-84.176225
Ray,Knight,185,1974-09-10,73,1988-10-02,http://www.baseball-reference.com/players/k/knighra01.shtml,Albany,GA,1952,31.578037,-84.176225
Merritt,Ranew,170,1962-04-13,71,1969-09-30,http://www.baseball-reference.com/players/r/ranewme01.shtml,Albany,GA,1938,31.578037,-84.176225
John,Slappey,170,1920-08-23,76,1920-10-02,http://www.baseball-reference.com/players/s/slappjo01.shtml,Albany,GA,1898,31.578037,-84.176225
Harry,Spilman,180,1978-09-11,73,1989-09-30,http://www.baseball-reference.com/players/s/spilmha01.shtml,Albany,GA,1954,31.578037,-84.176225
Moose,Clabaugh,185,1926-08-30,72,1926-09-25,http://www.baseball-reference.com/players/c/clabamo01.shtml,Albany,MO,1901,40.247893,-94.333455
Glen,Barker,180,1999-04-07,70,2001-10-07,http://www.baseball-reference.com/players/b/barkegl01.shtml,Albany,NY,1971,42.665745,-73.798353
Asa,Brainard,150,1871-05-05,68,1874-10-14,http://www.baseball-reference.com/players/b/brainas01.shtml,Albany,NY,1841,42.665745,-73.798353
Earle,Brucker,175,1937-04-19,71,1943-05-23,http://www.baseball-reference.com/players/b/bruckea01.shtml,Albany,NY,1901,42.665745,-73.798353
Al,Burch,160,1906-06-19,68,1911-07-30,http://www.baseball-reference.com/players/b/burchal01.shtml,Albany,NY,1883,42.665745,-73.798353
John,Cerutti,195,1985-09-01,74,1991-10-05,http://www.baseball-reference.com/players/c/cerutjo01.shtml,Albany,NY,1960,42.665745,-73.798353
Mickey,Devine,165,1918-08-02,70,1925-09-26,http://www.baseball-reference.com/players/d/devinmi01.shtml,Albany,NY,1892,42.665745,-73.798353
Jimmy,Esmond,167,1911-04-20,71,1915-10-03,http://www.baseball-reference.com/players/e/esmonji01.shtml,Albany,NY,1889,42.665745,-73.798353
Matty,Fitzgerald,185,1906-09-15,72,1907-07-11,http://www.baseball-reference.com/players/f/fitzgma01.shtml,Albany,NY,1880,42.665745,-73.798353
Harry,Heitmann,175,1918-07-27,72,1918-07-27,http://www.baseball-reference.com/players/h/heitmha01.shtml,Albany,NY,1896,42.665745,-73.798353
Gary,Holle,210,1979-06-02,78,1979-06-14,http://www.baseball-reference.com/players/h/hollega01.shtml,Albany,NY,1954,42.665745,-73.798353
Bill,Kellogg,153,1914-04-14,70,1914-10-05,http://www.baseball-reference.com/players/k/kellobi01.shtml,Albany,NY,1884,42.665745,-73.798353
Gene,Lansing,185,1922-04-27,73,1922-07-17,http://www.baseball-reference.com/players/l/lansige01.shtml,Albany,NY,1898,42.665745,-73.798353
Joe,Mahoney,245,2012-07-07,78,2013-04-27,http://www.baseball-reference.com/players/m/mahonjo01.shtml,Albany,NY,1987,42.665745,-73.798353
Ed,McDonald,180,1911-08-05,72,1913-04-15,http://www.baseball-reference.com/players/m/mcdoned02.shtml,Albany,NY,1886,42.665745,-73.798353
Billy,O'Brien,185,1884-09-27,72,1890-08-12,http://www.baseball-reference.com/players/o/o'bribi01.shtml,Albany,NY,1860,42.665745,-73.798353
John,Pappalau,175,1897-06-09,72,1897-06-22,http://www.baseball-reference.com/players/p/pappajo01.shtml,Albany,NY,1875,42.665745,-73.798353
Ed,Phelps,185,1902-09-03,71,1913-08-15,http://www.baseball-reference.com/players/p/phelped01.shtml,Albany,NY,1879,42.665745,-73.798353
Cy,Seymour,200,1896-04-22,72,1913-07-17,http://www.baseball-reference.com/players/s/seymocy01.shtml,Albany,NY,1872,42.665745,-73.798353
Deke,White,,1895-09-14,,1895-09-27,http://www.baseball-reference.com/players/w/whitede02.shtml,Albany,NY,1872,42.665745,-73.798353
Mellie,Wolfgang,160,1914-04-18,69,1918-07-02,http://www.baseball-reference.com/players/w/wolfgme01.shtml,Albany,NY,1890,42.665745,-73.798353
Pat,Cooper,180,1946-05-11,75,1947-09-06,http://www.baseball-reference.com/players/c/coopepa01.shtml,Albemarle,NC,1917,35.360039,-80.192135
Monty,Montgomery,200,1971-09-14,75,1972-09-30,http://www.baseball-reference.com/players/m/montgmo01.shtml,Albemarle,NC,1946,35.360039,-80.192135
Tommy,Smith,210,1973-09-06,76,1977-09-10,http://www.baseball-reference.com/players/s/smithto04.shtml,Albemarle,NC,1948,35.360039,-80.192135
Mike,Dimmel,180,1977-09-02,72,1979-04-18,http://www.baseball-reference.com/players/d/dimmemi01.shtml,Albert Lea,MN,1954,43.654293,-93.364148
Bill,Connelly,175,1945-08-22,72,1953-06-16,http://www.baseball-reference.com/players/c/connebi01.shtml,Alberta,VA,1925,36.854006,-77.893986
Irv,Hall,160,1943-04-20,70,1946-09-26,http://www.baseball-reference.com/players/h/hallir01.shtml,Alberton,MD,1918,39.3148402,-76.7937954
Johnny,Babich,185,1934-06-19,73,1941-08-28,http://www.baseball-reference.com/players/b/babicjo01.shtml,Albion,CA,1913,39.225326,-123.757584
Watch,Burnham,,,,,http://www.baseball-reference.com/players/b/burnhwa99.shtml,Albion,MI,1860,42.247854,-84.759120
Al,Mahon,160,1930-04-22,71,1930-05-11,http://www.baseball-reference.com/players/m/mahonal01.shtml,Albion,NE,1909,41.687677,-97.998320
Chris,Cron,200,1991-08-15,74,1992-10-04,http://www.baseball-reference.com/players/c/cronch01.shtml,Albuquerque,NM,1964,35.105552,-106.647388
Ken,Giles,205,2014-06-12,74,2015-10-04,http://www.baseball-reference.com/players/g/gileske01.shtml,Albuquerque,NM,1990,35.105552,-106.647388
Fred,Haney,170,1922-04-18,66,1929-05-07,http://www.baseball-reference.com/players/h/haneyfr01.shtml,Albuquerque,NM,1896,35.105552,-106.647388
Randy,McCament,195,1989-06-28,75,1990-05-21,http://www.baseball-reference.com/players/m/mccamra01.shtml,Albuquerque,NM,1962,35.105552,-106.647388
Jordan,Pacheco,200,2011-09-06,73,2015-06-04,http://www.baseball-reference.com/players/p/pachejo01.shtml,Albuquerque,NM,1986,35.105552,-106.647388
Christian,Parker,200,2001-04-06,73,2001-04-06,http://www.baseball-reference.com/players/p/parkech01.shtml,Albuquerque,NM,1975,35.105552,-106.647388
James,Parr,185,2008-09-04,73,2009-05-21,http://www.baseball-reference.com/players/p/parrja01.shtml,Albuquerque,NM,1986,35.105552,-106.647388
Mike,Vento,195,2005-09-13,72,2006-06-09,http://www.baseball-reference.com/players/v/ventomi01.shtml,Albuquerque,NM,1978,35.105552,-106.647388
Kyle,Weiland,195,2011-07-10,76,2012-04-24,http://www.baseball-reference.com/players/w/weilaky01.shtml,Albuquerque,NM,1986,35.105552,-106.647388
Peaches,Graham,180,1902-09-14,69,1912-06-18,http://www.baseball-reference.com/players/g/grahape01.shtml,Aledo,IL,1877,41.198529,-90.744040
Dewey,McDougal,188,1895-04-24,70,1896-05-12,http://www.baseball-reference.com/players/m/mcdoude01.shtml,Aledo,IL,1871,41.198529,-90.744040
Kendall,Graveman,185,2014-09-05,74,2015-08-23,http://www.baseball-reference.com/players/g/graveke01.shtml,Alexander City,AL,1990,32.944012,-85.9538531
Johnny,Watwood,186,1929-04-16,73,1939-05-29,http://www.baseball-reference.com/players/w/watwojo01.shtml,Alexander City,AL,1905,32.944012,-85.9538531
Jay,Aldrich,210,1987-06-05,75,1990-04-26,http://www.baseball-reference.com/players/a/aldrija01.shtml,Alexandria,LA,1961,31.293449,-92.470189
Dave,Davenport,220,1914-04-17,78,1919-09-01,http://www.baseball-reference.com/players/d/davenda01.shtml,Alexandria,LA,1890,31.293449,-92.470189
Terry,Mathews,200,1991-06-21,74,1999-08-11,http://www.baseball-reference.com/players/m/mathete01.shtml,Alexandria,LA,1964,31.293449,-92.470189
Kevin,McGehee,190,1993-08-23,72,1993-09-30,http://www.baseball-reference.com/players/m/mcgehke01.shtml,Alexandria,LA,1969,31.293449,-92.470189
Warren,Morris,190,1999-04-05,71,2003-09-28,http://www.baseball-reference.com/players/m/morriwa02.shtml,Alexandria,LA,1974,31.293449,-92.470189
Greg,Smith,190,2008-04-09,73,2010-05-19,http://www.baseball-reference.com/players/s/smithgr02.shtml,Alexandria,LA,1983,31.293449,-92.470189
Russ,Springer,195,1992-04-17,76,2010-08-04,http://www.baseball-reference.com/players/s/sprinru01.shtml,Alexandria,LA,1968,31.293449,-92.470189
Ken,Tatum,205,1969-05-28,74,1974-07-01,http://www.baseball-reference.com/players/t/tatumke01.shtml,Alexandria,LA,1944,31.293449,-92.470189
Jack,Beach,,1884-05-01,,1884-06-12,http://www.baseball-reference.com/players/b/beachja01.shtml,Alexandria,VA,1862,38.820071,-77.084063
Leon,Day,170,,69,,http://www.baseball-reference.com/players/d/dayle99.shtml,Alexandria,VA,1916,38.820071,-77.084063
Nemo,Gaines,180,1921-06-26,72,1921-07-16,http://www.baseball-reference.com/players/g/gainene01.shtml,Alexandria,VA,1897,38.820071,-77.084063
Bill,Kennedy,175,1942-05-01,73,1947-09-26,http://www.baseball-reference.com/players/k/kennebi01.shtml,Alexandria,VA,1918,38.820071,-77.084063
Mat,Latos,245,2009-07-19,78,2015-10-03,http://www.baseball-reference.com/players/l/latosma01.shtml,Alexandria,VA,1987,38.820071,-77.084063
Chuck,Scrivener,170,1975-09-18,69,1977-09-29,http://www.baseball-reference.com/players/s/scrivch01.shtml,Alexandria,VA,1947,38.820071,-77.084063
Mark,Smith,215,1983-08-12,74,1983-10-02,http://www.baseball-reference.com/players/s/smithma02.shtml,Alexandria,VA,1955,38.820071,-77.084063
Ben,Steiner,165,1945-04-17,71,1947-04-21,http://www.baseball-reference.com/players/s/steinbe01.shtml,Alexandria,VA,1921,38.820071,-77.084063
Bill,Yeatman,,1872-04-20,,1872-04-20,http://www.baseball-reference.com/players/y/yeatmbi01.shtml,Alexandria,VA,1838,38.820071,-77.084063
Ray,Brown,195,,73,,http://www.baseball-reference.com/players/b/brownra99.shtml,Alger,OH,1908,40.709439,-83.844031
Brad,Nelson,255,2008-09-01,74,2009-05-12,http://www.baseball-reference.com/players/n/nelsobr02.shtml,Algona,IA,1982,43.073979,-94.229926
Solly,Salisbury,180,1902-04-19,72,1902-04-24,http://www.baseball-reference.com/players/s/salisbi01.shtml,Algona,IA,1876,43.073979,-94.229926
Dave,Skaugstad,179,1957-09-25,73,1957-09-29,http://www.baseball-reference.com/players/s/skaugda01.shtml,Algona,IA,1940,43.073979,-94.229926
George,Stueland,174,1921-09-15,73,1925-05-26,http://www.baseball-reference.com/players/s/stuelge01.shtml,Algona,IA,1899,43.073979,-94.229926
John,Miller,195,1966-09-11,71,1969-09-27,http://www.baseball-reference.com/players/m/millejo04.shtml,Alhambra,CA,1944,34.083571,-118.136444
Frank,Pastore,188,1979-04-04,74,1986-09-05,http://www.baseball-reference.com/players/p/pastofr01.shtml,Alhambra,CA,1957,34.083571,-118.136444
Albie,Pearson,140,1958-04-14,65,1966-07-16,http://www.baseball-reference.com/players/p/pearsal02.shtml,Alhambra,CA,1934,34.083571,-118.136444
Dennis,Saunders,195,1970-05-21,75,1970-06-12,http://www.baseball-reference.com/players/s/saundde01.shtml,Alhambra,CA,1949,34.083571,-118.136444
Bill,Taylor,212,1954-04-14,75,1958-05-08,http://www.baseball-reference.com/players/t/taylobi03.shtml,Alhambra,CA,1929,34.083571,-118.136444
Red,Worthington,170,1931-04-14,71,1934-09-14,http://www.baseball-reference.com/players/w/worthre01.shtml,Alhambra,CA,1906,34.083571,-118.136444
Bobby,Cuellar,188,1977-09-09,71,1977-09-20,http://www.baseball-reference.com/players/c/cuellbo01.shtml,Alice,TX,1952,27.755616,-98.065812
Bill,Henry,180,1952-04-17,74,1969-06-16,http://www.baseball-reference.com/players/h/henrybi01.shtml,Alice,TX,1927,27.755616,-98.065812
Joe,Pate,184,1926-04-15,70,1927-07-19,http://www.baseball-reference.com/players/p/patejo01.shtml,Alice,TX,1892,27.755616,-98.065812
Jim,Tyrone,185,1972-08-27,73,1977-10-02,http://www.baseball-reference.com/players/t/tyronji01.shtml,Alice,TX,1949,27.755616,-98.065812
Wayne,Tyrone,185,1976-07-15,73,1976-09-26,http://www.baseball-reference.com/players/t/tyronwa01.shtml,Alice,TX,1950,27.755616,-98.065812
Tito,Francona,190,1956-04-17,71,1970-09-29,http://www.baseball-reference.com/players/f/francti01.shtml,Aliquippa,PA,1933,40.615827,-80.255162
Doc,Medich,225,1972-09-05,77,1982-10-02,http://www.baseball-reference.com/players/m/medicdo01.shtml,Aliquippa,PA,1948,40.615827,-80.255162
Tim,Plodinec,190,1972-06-02,76,1972-06-02,http://www.baseball-reference.com/players/p/ploditi01.shtml,Aliquippa,PA,1947,40.615827,-80.255162
John,Pyecha,200,1954-04-24,77,1954-04-24,http://www.baseball-reference.com/players/p/pyechjo01.shtml,Aliquippa,PA,1931,40.615827,-80.255162
Joe,Schepner,160,1919-09-11,70,1919-09-28,http://www.baseball-reference.com/players/s/schepjo01.shtml,Aliquippa,PA,1895,40.615827,-80.255162
Pete,Suder,175,1941-04-15,72,1955-05-30,http://www.baseball-reference.com/players/s/suderpe01.shtml,Aliquippa,PA,1916,40.615827,-80.255162
Dad,Hale,180,1902-04-21,70,1902-08-16,http://www.baseball-reference.com/players/h/haleda01.shtml,Allegan,MI,1880,42.531768,-85.839249
Charlie,Reynolds,,1882-05-18,,1882-05-19,http://www.baseball-reference.com/players/r/reynoch01.shtml,Allegany,NY,1857,42.093814,-78.492769
Rube,Geyer,170,1910-04-24,70,1913-09-04,http://www.baseball-reference.com/players/g/geyerru01.shtml,Allegheny,PA,1884,40.4597204,-79.9760404
Fred,Hartman,170,1894-07-26,66,1902-09-08,http://www.baseball-reference.com/players/h/hartmfr01.shtml,Allegheny,PA,1865,40.4597204,-79.9760404
Al,Nevin,,1873-05-06,,1873-07-23,http://www.baseball-reference.com/players/n/nevinal01.shtml,Allegheny City,PA,1850,41.0956897,-79.6801791
